172.0, 3632,2129,1273,3609,358,1937,1303,657,497,782,1818,4583
138.0, 3275,82,200,1950,4499,3525,4130,1051,1180,640
176.0, 451,1904,1489,4782,498,1819,3518,2195,1180,2913,4392,784,1299,2388,482,183
40.0, 3371,2599,233,3438,1543,3284,2459,1056,2979,1819,645,3898,483,2717,4036,912,1686,784
106.0, 2708,548,4583,509,3149,2720,2851,651,3090,3516,912,2850,185,185,1180,1
115.0, 1359,1979,2937,942,2110,4045,3155,3706,1880,4780,4665,790,3757,645,3805,3
10.0, 3422,3712,4204,3387,4085,2976,4525,2869,15,1306,2799,2649,2109,1938,341
6.0, 2734,3120,4229,3922,4395,1061,2724,2394,3553,3711,1754,1180,3090,184
167.0, 574,2833,4690,1562,3203,351,792,341
164.0, 3107,1269,4823,3221,58,7,1817,343,1,1,911
121.0, 3351,2754,853,1969,3724,919,1542,2256,1180,3553,3033
69.0, 4007,673,2986,3048,2073,1841,3248,3985,1623,1888,1631,1687,4352,2257,3758,3093,1391,913,912,185
47.0, 3404,1961,785,4285,935,2618,3862,3285,2028,2648,2651,1055,4,4392,346,4525,3897,3202,3283,640
70.0, 521,2433,2196,3727,3954,490,1404,683,650,1469,351,4319,1469,2028,2850,1
39.0, 2826,3352,4649,4175,1545,4620,2394,2262,3617,2922,3287,3663,1182,3203,2107,2108,640,482
39.0, 3555,2287,3492,2805,526,1826,1332,1306,2922,3161,2524,24,34,3419,1695,2258,3338,643,2388,2255,2255,1686,1937,1,1
75.0, 1864,800,2750,913,2127,1629,3986,2979,1940,185,3382,640
58.0, 3590,51,1314,3906,2984,4211,2656,1904,2118,3905,497,4137,1750,348,1470,4493,1051,1180,910,1,781
10.0, 1844,4542,2337,1898,2797,2030,1837,3428,1472,2915,2179,1939,4392,4083,1937,910
161.0, 942,4831,571,4642,945,2276,3715,1549,3423,1473,482,1470,1469,3985,2181,2180,4034,3553,910,183,2647,910
164.0, 3076,1057,92,4427,3570,663,1478,4318,6,3473,784,784,642,3284,1879,2647,183
96.0, 248,4504,40,209,2423,4189,2118,24,4356,197,1299,189,912,2107,1051,640
25.0, 1570,4615,2736,1561,3903,2327,4335,2931,2209,3297,3613,185,3989,186,2179,1817,4637,2518,1469,3553,1299
85.0, 4597,2413,4623,702,3216,3810,3249,4493,3473,642,1051,1051
108.0, 3824,2361,1358,2649,911,348,3341,1817,2787,490,917,2324
190.0, 773,2578,816,20,3659,3852,4712,3757,482
123.0, 2347,2740,3270,75,3204,193,3293,666,3553,2112,3758,4393,1310,483,3092,6,1186,3609,3091,2787,3284,4249,2851,183,1,1,1
169.0, 1144,68,3670,2852,2209,940,799,1304,485,3476,1817,4213,2258,1879,2031,3473,642
198.0, 187,17,4438,2852,166,3613,642,2258,1390,1051,341
196.0, 339,4460,4132,343,1937,5,1
193.0, 145,4096,1940,2390,2600,1478,4638,4136,2725,194,42,1191,1180,3473,183,1,1
188.0, 4763,4182,317,3290,2786,11,3046,494,1623,1939,2028,3706,787,642,4392,1180,341,183,341
187.0, 773,2578,816,20,3659,3852,4712,3757,482
183.0, 1042,4742,1309,1301,4781,193,1687,2457,915
180.0, 613,4266,916,1625,3986,1399,4353,6
180.0, 1041,2658,1062,935,356,3035,4087,1940,4286,14,3709,3758,2518,914,4,2786,3418,483
174.0, 1178,8,3037,3149,914,4493,1299,2179,183
172.0, 3716,4496,799,3053,1427,128,22,3385,3517,2724,2647,910,3420,1056,4210,1941,787,642,2107,1
165.0, 4665,4140,2258,459,3098,71,3207,2185,1302,4285,3661,3,1299,1686,1390,482,910
154.0, 451,1904,1489,4782,498,1819,3518,2195,1180,2913,4392,784,1299,2388,482,183
149.0, 2456,3529,107,2618,4042,807,3668,3342,2031,2256,344,3898,4318,483,2914,4130,640,1
141.0, 3632,2129,1273,3609,358,1937,1303,657,497,782,1818,4583
139.0, 1144,68,3670,2852,2209,940,799,1304,485,3476,1817,4213,2258,1879,2031,3473,642
136.0, 574,2833,4690,1562,3203,351,792,341
132.0, 3107,1269,4823,3221,58,7,1817,343,1,1,911
125.0, 3076,1057,92,4427,3570,663,1478,4318,6,3473,784,784,642,3284,1879,2647,183
118.0, 942,4831,571,4642,945,2276,3715,1549,3423,1473,482,1470,1469,3985,2181,2180,4034,3553,910,183,2647,910
115.0, 415,429,1117,489,358,4460,3473,2038,4713,3033,2388,910,3805,183
82.0, 1390,2721,1469,4444,2915,3038,418,4318,2541,2255,365,1186,666,2787,3204,4393,183,2851,3092,1,3553,4249,3293,1310,3284,3091,1,1,483,2112,3758,6,3609,193
125.0, 641,3708,1379,2179,2,1069,2522,2787,3706,2718,1063,2257,483,528,781,2031,781,1404,1
63.0, 2185,4285,71,1302,4140,2258,3,3207,3098,1299,3661,1686,4665,482,1390,910,2833,351,341,1562,3203,792,4690
93.0, 1550,3717,265,2269,2861,4400,1186,2740,183,6,666,4393,3284,3092,2851,2787,3204,3758,3609,3091,193,1,1,483,2112,3553,1310,2347,1,4249,3293
150.0, 3529,4130,4042,2031,3898,1,640,107,3342,344,483,4318,2456,3668,2256,807,2914,2181,3423,183,1549,1470,2180,3985,482,571,1473,910,2647,910,1469,3553,4034
82.0, 1469,2915,4444,4318,418,3038,2255,1390,919,3033,1180,3553,3724,1542,3351,2256
117.0, 4131,271,2028,4250,1688,1817,784,2028,2788,1697,4036,1052,2786,7,3289,644,82,3525,1180,4130,640,200,1950,4499,1051
