166.0, 3146,103,4297,1128,4354,1391,2721,1551,522,1751,3614,3809,2655,12,3339,1469,4779,2575,1180
184.0, 69,2597,796,461,1391,2977,3899,3419,1617,910,1937,341
61.0, 961,3734,1562,2408,675,3617,4473,3044,501,1299
164.0, 1053,1076,4653,2673,1077,100,3255,2114,1181,206,2033,4353,4082,4801,3091,7,781,3147,2389,2647
14.0, 4771,2606,3869,2673,939,3033,3945,4801,915,192,2517,3553,3246,1820,1,1181,482,341,341
63.0, 2697,3612,33,1905,3866,2803,3946,2,2107,183,2388
168.0, 2755,4035,494,492,3517,4556,588,499,4589,7,4093,3209,348,3147,1393,9,1472,485,484,483
64.0, 4373,3338,1837,1584,498,1575,781,1311,204,1686,193,910,2,3090,2388
192.0, 317,4760,1766,1487,814,2390,2037,4463,1063,4458,1618,1051,1301,910,1180,183
152.0, 2530,2229,735,4216,1545,4665,1620,482,640
22.0, 3787,3090,2879,3116,2978,11,3246,1299,1486,223,646,1820,3473,1
140.0, 4651,3675,430,382,4355,3993,4783,3609,2029,913,2851,3421,4583,3553,2388,3146,8,1053,2717
47.0, 1191,3939,214,816,188,2,2455,2517,183
110.0, 549,4641,1707,1725,2681,1476,351,352,3091,490,484,3609,4354,2179,3553,1391,1880,1750,1299,640,482
187.0, 1174,520,2521,1062,1181,2717,910,1,910,341,1
85.0, 2500,44,953,3039,3770,546,3095,2723,3339,1471,1880,487,483,641,2029,183,640
96.0, 3524,2779,3422,2981,1894,3,1883,2107,640,3148,1180,1,1
122.0, 1685,781,1,1180,1
39.0, 3512,3218,2458,782,2575
57.0, 1832,2297,4469,4804,2421,4328,2267,4352,2179,343,1180
31.0, 3375,4394,2054,1826,1484,342,1692,3857,2180,2457,1300,1180,1750,482
108.0, 530,3483,2241,397,2576,1299,4034,1880,1051,183,640,183
32.0, 4787,2459,1773,1574,4628,3251,3808,3249,2578,911,2575,3611,2575,341,1937,1
124.0, 4595,1215,3911,718,2344,3992,945,4401,2980,2107,1938,1686,2647,1390,1180
97.0, 3502,3955,3526,248,535,2467,2651,183,4524,2179,4034,482,1
196.0, 4586,320,3768,4355,649,1622,4612,4715,676,1198,3946,782,2257,2388,2255,910,183,1
172.0, 455,1103,2918,2531,1305,51,1475,2389,910,3659,910,1541,3943,1469,1
185.0, 1207,463,4083,1067,4427,920,795,2652,1830,2399,2913,4555,3516,3382,2980,2982,4250,2258,2975,4034,2977,2255,2107,1
135.0, 1467,1056,1068,3851,2324,342,2975,2388,2
34.0, 1477,1972,3404,2870,4714,4173,3805,2923,4622,212,1689,1544,2519,2107,1182,781,910,1051,1,640
12.0, 4453,3288,3900,2604,2032,2125,2458,1,3285,345,341
161.0, 282,1733,3033,362,201,3247,1818,2258,1618
145.0, 432,1413,1344,4780,2056,3661,21,1317,4459,3246,3340,4781,3338,2255,1541,341
2.0, 3033,4082,4820,1757,6,3947,341,1819,1690,3608,485,3608,3146,781,640,483
95.0, 2849,2327,2853,3661,3092,7,3146,2850,1617,1
98.0, 4237,407,4104,2925,2576,2788,3204,1392,1183,640,640,640
130.0, 4013,865,4807,2597,2850,4821,2028,3283,183
59.0, 4450,2074,1943,4211,4133,2195,2256,3381,188,3
38.0, 1475,226,3880,2358,1299,4592,1056,4584,2121,649,3517,1937,1180,2324,1750,3283,482,183,1937
41.0, 3453,4329,2612,526,2662,2579,4497,4082,4690,2919,486,1,184,1299
61.0, 3139,2801,4691,3202,3674,359,3477,491,2456,2109,2975,2,344,782,1879,1,1
31.0, 1695,4188,3320,1835,2345,2399,1190,3711,2028,1552,2179,911,1053,783,1937,183
120.0, 257,395,2068,4358,1643,2603,190,3475,482,345,1470,1751,4583,483,783,640,1686,640
22.0, 2490,3410,2914,1624,1686,2786,640,1
19.0, 3879,4474,2415,3864,1476,2117,508,647,917,2181,341,912,1051,1180,183,781,482
79.0, 242,831,1663,1323,3562,3208,4044,2107,2981,3759,3475,2648,652,2459,1182,3203,4319,4083,4779,187,785,3202,911,2647,1052,781,341,341
47.0, 3442,1773,806,2399,3073,2654,49,3203,3,4131,483,2028,1299,3897
92.0, 3985,2511,3381,1568,3423,3944,4354,485,3897,1817
178.0, 3825,458,2979,3814,3204,353,10,2722,1055,1541,781,3805,1617
149.0, 873,2675,255,1938,2122,1695,3557,3806,4585,912,1394,4082,1181,3033,1,1
192.0, 1053,147,4714,987,2390,928,1190,640,4427,4,4035,2718,183
